813,420,456,337
701,42,82,653
761,469,377,752
484,677,317,785
981,190,843,29
974,791,876,792
288,362,891,228
215,15,861,253
975,148,521,644
181,608,931,666
12,860,786,151
503,975,846,245
394,745,228,13
931,944,816,791
757,335,546,847
540,226,302,223
811,56,947,850
199,638,534,224
785,171,581,676
77,460,59,64
643,24,502,753
856,746,178,981
461,179,694,366
465,544,865,954
788,718,769,483
844,157,192,197
7,133,306,15
453,582,3,805
427,80,36,240
686,505,865,697
236,814,268,771
761,1000,51,552
464,861,854,711
869,434,315,932
460,593,321,650
224,167,877,240
651,652,638,12
627,36,225,327
615,933,873,172
719,906,705,674
904,148,386,146
251,221,995,226
538,498,484,85
125,16,200,870
291,34,491,224
866,180,470,679
217,675,431,873
226,728,429,337
799,893,698,500
841,598,185,139
889,713,435,435
4,351,64,504
197,697,466,408
533,233,151,311
774,642,990,207
15,701,344,667
121,29,398,424
854,843,397,849
169,51,452,571
408,479,933,350
370,318,656,748
648,826,772,290
143,546,927,572
791,299,164,735
846,268,812,613
586,883,876,295
95,419,431,282
61,715,990,271
812,944,670,777
0,185,546,186
220,688,403,959
248,20,871,354
666,758,23,527
416,455,280,834
526,252,625,959
471,354,539,813
919,811,492,781
293,172,647,609
201,112,826,21
600,701,715,925
927,390,357,191
384,401,155,235
969,74,525,562
262,535,120,948
926,848,769,946
12,738,151,858
195,901,650,358
502,54,509,718
335,903,581,825
859,410,206,413
935,591,4,877
593,870,948,751
758,295,640,491
641,639,693,166
664,379,692,180
185,153,514,797
299,729,430,711
531,896,848,49
391,575,263,46
80,740,679,181
379,384,648,420
334,921,816,190
198,258,14,585
944,533,395,683
584,468,929,214
426,664,561,242
116,725,140,193
342,990,153,343
923,885,992,102
541,82,775,120
818,54,731,931
984,354,323,208
997,217,901,765
481,948,110,299
686,57,111,903
449,891,531,631
628,529,909,443
574,545,461,455
40,783,171,469
761,201,354,212
862,851,248,877
97,703,818,748
424,752,798,460
810,544,430,837
913,578,338,127
219,303,770,286
489,47,346,398
734,703,596,591
574,645,429,738
769,237,87,691
168,299,713,887
570,608,227,868
170,450,98,857
318,51,415,142
278,866,61,608
666,659,859,929
905,637,454,16
821,792,900,921
151,765,485,410
243,449,189,217
309,244,864,415
513,363,3,768
64,601,274,225
958,27,663,480
131,280,459,447
96,141,547,201
696,662,201,343
501,637,478,881
772,776,832,159
654,572,343,218
639,932,907,228
592,547,75,84
103,591,465,524
308,899,674,737
273,582,308,321
934,105,92,925
659,521,148,404
573,1,210,128
995,1000,576,366
511,781,602,636
259,613,534,83
830,691,953,572
951,780,621,512
691,652,171,329
555,801,499,444
430,395,88,101
302,506,215,204
842,730,317,917
294,132,846,357
409,121,562,71
144,794,724,169
654,723,92,596
259,553,163,177
226,961,16,7
203,659,613,91
964,500,1,215
138,89,208,795
695,78,945,816
591,229,434,908
469,680,136,608
308,228,533,865
679,198,970,645
955,894,336,185
970,817,340,50
402,27,445,910
906,652,358,665
890,214,615,184
261,99,314,404
340,249,48,201
253,656,615,150
413,283,398,369
983,835,417,253
661,359,430,908
186,448,35,717
805,214,738,564
386,380,289,485
579,924,956,505
124,567,347,233
450,252,401,251
756,661,748,562
